,artists
369,"['Vicente Gomez', 'Guillermo Gomez']"
370,['Stratos Pagioumtzis']
371,['Roza Eskenazi']
372,['Raquel Meller']
373,['Abhayapada Chatterjee']
374,['Castro Barbosa']
375,['Luis Fernando Ramirez Zuluaga']
376,['Robert Francis']
377,"['Nikos Gounaris', 'Fotis Polimeris']"
378,['ANTONIS NTALGKAS']
379,['Γιώργος Καρράς']
380,"['André Filho', 'Aurora Miranda']"
381,"['Margarita Cueto', 'Juan Arvizu']"
382,"['Petros Epitropakis', 'Antonis Kalampousis']"
383,['Alibert']
384,['Clarence Ashley']
385,"['Jack Payne', 'His BBC Dance Orchestra']"
386,['Orquestra Colbaz']
387,"['Frédéric Chopin', 'Robert Lortat']"
388,['Charlie Chaplin']
389,['K Mullick']
390,['Zofia Dromlewiczowa']
391,['Umm Kulthum']
392,['Angurbala Devi']
393,"['Ninon Vallin', 'Georges Thill', 'Germaine Féraldy', ""Chœur et Orchestre de l'Opéra de Paris"", 'Elie Cohen']"
394,['Clarence Ashley y Gwen Foster']
395,"['Francisco Canaro', 'Charlo', 'Ada Falcón']"
396,['Sures Babu']
397,['Kanak Das Biswas']
398,['Esther Lekain']
399,['Sax Man Mike Clark']
400,['Crowder Brother']
401,['Walter Davis & Gwen Foster']
402,['Samantha Bumgarner']
403,['Berthe Sylva']
404,['Jeff Beatman']
405,['Jean Lumière']
406,['Justice & Jarvis']
407,['Aracy de Almeida']
408,['Indubala Devi']
409,['Francesc Macia']
410,['Ascharyamoyee Dasi']
411,['Henri Garat']
412,['The Carver Boys']
413,"['Frankie Carle', 'Marjorie Hughes']"
414,"['Bing Crosby', 'Lenny Hayton & His Orchestra']"
415,"['Artie Shaw', 'Peg LaCentra']"
416,"['Tommy Dorsey', 'Cliff Weston', 'Edythe Wright']"
417,"['Tex Beneke', 'Ray Eberle', 'The Modernaires', 'Paula Kelly']"
418,"['Benny Goodman', 'Bunny Berigan']"
419,"['Henry Hall', 'The BBC Dance Orchestra']"
420,['Red Norvo & His Orchestra']
421,"['Bing Crosby', 'Guy Lombardo And His Royal Canadians']"
422,"['Isham Jones & His Orchestra', 'Frank Sylvano']"
423,"['Glenn Miller', 'Tex Beneke', 'The Modernaires', 'Ernie Caceres']"
424,['Claude Thornhill & His Orchestra']
425,['Lina Termini']
426,['Les Elgart']
427,"['Bing Crosby', 'The Mills Brothers']"
428,['Russ Morgan and His Orchestra']
429,['Doris Day']
430,"['Richard Himber and his Orchestra', 'Joey Nash']"
431,"['Art Lund', 'Peggy Lee', 'Benny Goodman']"
432,['Tex Beneke And His Orchestra']
433,"['Bing Crosby', 'Isham Jones And His Orchestra']"
434,"['Harry James', 'Marion Morgan']"
435,"['Paul Whiteman & His Orchestra', 'Johnny Mercer', 'Jack Teagarden']"
436,"['Fred Astaire', 'Johnny Green & His Orchestra']"
437,['Gilberto Mazzi']
438,['Fred Astaire']
439,['with Studio Orchestra']
440,"['Bing Crosby', 'Jimmie Grier & His Orchestra']"
441,['Val Rosing']
442,['Lennie Hayton & His Orchestra']
443,['Lilia Salvi']
444,['With Orchestral Accompaniment']
445,['Helen Crawford']
446,['Leo Reisman & His Orchestra']
447,['Isham Jones And His Orchestra']
448,"['Bing Crosby', 'Frank Trumbauer', 'Lennie Hayton & His Orchestra']"
449,"['Bing Crosby', 'The Dorsey Brothers']"
450,"['Bing Crosby', 'Irving Aaronson and His Commanders']"
451,"['Bing Crosby', 'Anson Weeks', 'His Orchestra']"
452,"['Bing Crosby', 'Nat W. Finston and his Paramount Orchestra']"
453,['Anson Weeks & His Orchestra']
454,"['Bing Crosby', 'with Irving Aaronson & His Commanders']"
455,"[""Anita O'Day"", 'Gene Krupa & His Orchestra', 'Roy Eldridge']"
456,"['Jack Teagarden', 'Red Nichols & His Five Pennies']"
457,['Norma Bruni']
458,['Fletcher Henderson']
459,['Les Brown & His Orchestra']
460,['Trío Los Chamas']
461,['Tushar Dutta']
462,"['Francisco Canaro', 'Ernesto Fama']"
463,"['Francisco Canaro', 'Felix Gutierrez']"
464,['Marcel Pagnol']
465,['Gilles & Julien']
466,['Fred Buscaglione']
467,['Giacomo Rondinella']
468,"['Marcel Pagnol', 'Charpin', 'Raimu', 'Oriane Demazis']"
469,['alejandro ramirez silva']
470,['Cab Calloway']
471,['Elsa Merlini & Enrico Viarisio']
472,"['Charpin', 'Oriane Demazis', 'Mouries']"
473,['Vittorio De Sica & Elsa Merlini']
474,['Clara Jaione']
475,['Govindrao Tembe']
476,['Galatasaray İz Cazı Ork.']
477,['Marie Dubas']
478,['Giorgio Consolini']
479,['Mantu Rani']
480,['Mrinal Kanti Ghosh']
481,"['Marcel Pagnol', 'Charpin', 'Mouries', 'Vattier', 'Raimu', 'Oriane Demazis']"
482,['Krishna Chandra Dey']
483,['Claudio Villa']
484,['Carlo Buti']
485,['University of Delaware Jazz Ensemble I']
486,['Mari Merche Y Su Orquesta']
487,['Vedia Rıza Hanım']
488,"['Sujan Majhi', 'Girin Chakraborty']"
489,"['Francisco Canaro', 'Domingo Conte']"
490,['Sudhirlal Chakroborty']
491,['Woody Herman']
492,['Roma Mazumder Kar']
493,"['Marcel Pagnol', 'Charpin', 'Raimu']"
494,"['Billie Holiday', 'Eddie Heywood']"
495,['Art Tatum']
496,['Billie Holiday']
497,['Lucille Bogan']
498,"['Teddy Wilson', 'Billie Holiday']"
499,"['Billie Holiday', 'Benny Goodman']"
500,"['Billie Holiday', 'Count Basie']"
501,"['Duke Ellington', 'Billie Holiday']"
502,"['Billie Holiday', 'Benny Carter & His All Star Orchestra']"
503,['Guandulito']
504,"['Richard Himber and his Orchestra', 'Johnny Mercer']"
505,"['George Gershwin', 'Jascha Heifetz', 'Brooks Smith']"
