,endTime,artistName,trackName,msPlayed,count
2054,2022-04-14 01:47,Sam Smith,I'm Not The Only One,239316,1
2055,2022-04-14 01:49,Olivia Rodrigo,favorite crime,1490,1
2056,2022-04-14 01:49,Joy Crookes,Skin,118284,1
2057,2022-04-14 01:49,Bruno Mars,When I Was Your Man,2550,1
2058,2022-04-14 01:49,Adele,My Little Love,2420,1
2059,2022-04-14 01:51,Daniel Merriweather,Water And A Flame (feat. Adele),136320,1
2060,2022-04-14 01:52,Rihanna,FourFiveSeconds,67530,1
2061,2022-04-20 23:06,Adele,Oh My God,10120,1
2062,2022-04-20 23:06,Adele,Hometown Glory,271226,1
2063,2022-04-20 23:10,Adele,Oh My God,4180,1
2064,2022-04-20 23:10,Adele,Hometown Glory,271226,1
2065,2022-04-20 23:19,Adele,Hometown Glory,511396,1
2066,2022-04-20 23:25,Adele,Hometown Glory,271226,1
2067,2022-04-20 23:30,Adele,Hometown Glory,271226,1
2068,2022-04-20 23:34,Adele,Hometown Glory,271226,1
2069,2022-04-20 23:43,Adele,Hometown Glory,533650,1
2070,2022-04-20 23:44,Adele,Hometown Glory,33673,1
2071,2022-04-21 02:20,Adele,Oh My God,224848,1
2072,2022-04-21 02:21,Adele,Easy On Me,4851,1
2073,2022-04-21 02:27,Adele,I Drink Wine,375848,1
2074,2022-04-21 02:30,Adele,Can I Get It,209850,1
2075,2022-04-21 02:37,Adele,To Be Loved,403850,1
2076,2022-04-21 02:43,Adele,Hold On,365852,1
2077,2022-04-21 02:47,Adele,My Little Love,235217,1
2078,2022-04-21 02:51,Leon Bridges,Coming Home,206102,1
2079,2022-04-21 02:53,Leon Bridges,Better Man,139844,1
2080,2022-04-21 02:57,Leon Bridges,Brown Skin Girl,264722,1
2081,2022-04-21 02:58,Leon Bridges,Smooth Sailin',37384,1
2082,2022-04-21 03:02,D'Angelo,Brown Sugar,262584,1
2083,2022-04-21 03:04,D'Angelo,Alright,116565,1
2084,2022-04-21 03:09,Mario,Let Me Love You,248824,1
2085,2022-04-21 03:12,Mario,Just a Friend 2002 - Radio Edit,213851,1
2086,2022-04-21 03:14,Ashanti,Rock Wit U (Awww Baby),132350,1
2087,2022-04-21 03:24,Robin Thicke,Lost Without U,2750,1
2088,2022-04-21 17:41,MEDUZA,Lose Control,168387,1
2089,2022-04-21 17:43,Summer Walker,Session 32,98026,1
2090,2022-04-21 17:46,UMI,Remember Me,8390,1
2091,2022-04-21 17:46,emawk,Later,6119,1
2092,2022-04-21 17:46,Post Malone,One Right Now (with The Weeknd),193506,1
2093,2022-04-21 17:49,Summer Walker,CPR,203240,1
