,endTime,artistName,trackName,msPlayed,count,artist_id,genres,artist_popularity,followers,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3205,2022-08-05 17:15,Beyoncé,FIND YOUR WAY BACK,162140,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,65kk9CAAqFI3LWBEhUwVqd,0.672,0.696,4.0,-6.693,0.0,0.177,0.2,0.0275,0.0736,0.642,118.742,162354.0,4.0
3206,2022-08-05 17:16,Victoria Monét,We Might Even Be Falling In Love (Interlude),51728,1,63XBtGSEZINSyXylZxEUbv,"['alternative r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap']",61.0,595183.0,4rCuwgRRKaIiHlHDc8Bga6,0.768,0.506,6.0,-8.913,1.0,0.165,0.415,0.0376,0.133,0.862,77.1,51914.0,4.0
3207,2022-08-05 17:18,Rihanna,Consideration,161067,1,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",88.0,50774378.0,6t90Z9XkdsHD8xMxro6KRP,0.883,0.584,7.0,-2.102,0.0,0.0465,0.0392,4.39e-06,0.0869,0.784,144.975,161067.0,4.0
3208,2022-08-05 17:22,Kelly Rowland,Crazy,185185,1,3AuMNF8rQAKOzjYppFNAoB,"['atl hip hop', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",65.0,3246284.0,1nmypDEMIhxlgvZViMUmoZ,0.734,0.666,8.0,-4.54,1.0,0.0746,0.00427,3.49e-06,0.266,0.492,115.002,185195.0,4.0
3209,2022-08-05 17:26,Aaliyah,Rock The Boat,274548,1,0urTpYCsixqZwgNTkPJOJ4,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",65.0,3493243.0,0qvlhVNm7L5IWabWF5hlEL,0.637,0.725,5.0,-5.073,1.0,0.0333,0.0702,0.00438,0.203,0.415,92.99,274733.0,4.0
3210,2022-08-05 17:29,Beyoncé,Diva - Homecoming Live,165873,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,7eOG24Nx7j4nI3f9nOZTOi,0.576,0.845,9.0,-7.406,1.0,0.162,0.0276,0.00029,0.387,0.486,145.918,165873.0,4.0
3211,2022-08-05 17:30,SZA,Miles,69543,1,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']",83.0,8646004.0,4pHy0gmjfpD0Fgond5c4Ta,0.64,0.356,7.0,-11.563,1.0,0.0612,0.965,0.000214,0.109,0.574,122.531,69729.0,5.0
3212,2022-08-05 17:40,Megan Thee Stallion,Plan B,43095,1,181bsRPaVXVlUKXrxwZfHK,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",79.0,7187171.0,2PljnVsnl2PRwCvfhbdQup,0.787,0.522,8.0,-5.872,1.0,0.463,0.0668,0.0,0.108,0.666,170.439,163765.0,4.0
3213,2022-08-06 16:49,Built To Spill,Carry the Zero,218908,1,3kbBWco9PZ5eSQsNScwG6U,"['alternative rock', 'anti-folk', 'idaho indie', 'indie rock', 'lo-fi', 'modern rock']",50.0,261185.0,3HMOMdRPywfouYx5B4PvaH,0.264,0.812,4.0,-5.651,1.0,0.031,1.35e-05,0.108,0.0962,0.458,94.095,343893.0,4.0
3214,2022-08-07 20:30,Beyoncé,SUMMER RENAISSANCE,273823,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,3HyR1j49TY5ACP2lseF1jx,0.674,0.625,1.0,-9.593,1.0,0.0514,0.0843,0.0015,0.11,0.208,120.004,273998.0,4.0
